CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065.0,2128793900,American,2018-09-28,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2018-09-28,2018-11-12,Cycle Inspection / Initial Inspection
40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET,10013.0,2129621037,American,2015-02-12,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2015-02-12,2018-11-12,Cycle Inspection / Initial Inspection
40367373,JACKSON HOLE,MANHATTAN,232,EAST   64 STREET,10065.0,2123717187,American,2017-06-28,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,7.0,A,2017-06-28,2018-11-12,Cycle Inspection / Initial Inspection
40368374,JIMMY'S CORNER,MANHATTAN,140,WEST   44 STREET,10036.0,2122219510,American,2017-08-22,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20.0,B,2015-04-06,2018-11-12,Cycle Inspection / Initial Inspection
40369165,REIF'S TAVERN,MANHATTAN,302,EAST   92 STREET,10128.0,2124260519,American,2015-03-26,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,13.0,A,2015-03-26,2018-11-12,Cycle Inspection / Re-inspection
40370168,EAR INN,MANHATTAN,326,SPRING STREET,10013.0,2122269060,American,2018-01-10,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,26.0,A,2018-02-14,2018-11-12,Cycle Inspection / Initial Inspection
40383931,FLASH DANCERS,MANHATTAN,1674,BROADWAY,10019.0,2123155107,American,2018-04-23,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19.0,A,2017-04-20,2018-11-12,Cycle Inspection / Initial Inspection
40391060,LUKE'S BAR & GRILL,MANHATTAN,1394,THIRD AVENUE,10075.0,2122497070,American,2015-09-10,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,2015-09-10,2018-11-12,Cycle Inspection / Initial Inspection
40393725,TRIBECA GRILL,MANHATTAN,375,GREENWICH STREET,10013.0,2129413900,American,2017-12-11,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,8.0,A,2017-12-11,2018-11-12,Cycle Inspection / Re-inspection
40398561,TOM AND JERRY BAR,MANHATTAN,288,ELIZABETH STREET,10012.0,2122605045,American,2015-02-03,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22.0,A,2016-09-27,2018-11-12,Cycle Inspection / Initial Inspection
40399136,ROCKEFELLER U/ABBY BLDG,MANHATTAN,1252,YORK AVENUE,10065.0,2123278890,American,2018-08-21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2018-08-21,2018-11-12,Cycle Inspection / Initial Inspection
