,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link
50066463,Yes,,,,Beer & Wine Only,,Yes,,Yes,,,,No,Yes,,Yes,,Yes,No,,,,No,,,Touristy,,,,Yes,Yes,,,Average,,,$11-30,A,3,56,https://www.yelp.com/biz/53rd-gourmet-deli-new-york?start=0
40739883,Yes,,,No,No,,No,,Yes,,,,No,Yes,Street,Yes,,Yes,No,,No,,Free,,,Casual,Casual,,,No,Yes,"Breakfast, Lunch",,Average,,,Under $10,A,3.5,455,https://www.yelp.com/biz/atlas-cafe-and-bakery-new-york-2?start=0
41507697,Yes,,,Yes,Beer & Wine Only,,Yes,,No,,,Yes,Yes,Yes,Street,Yes,,Yes,No,,Yes,Yes,Free,,,Casual,Casual,,,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,A,3.5,307,https://www.yelp.com/biz/bier-international-new-york?start=0
41630613,Yes,,,,No,,Yes,,No,,,,No,No,Street,Yes,,Yes,No,,,,Free,,,Casual,,,,Yes,Yes,"Breakfast, Lunch",,Average,,,Under $10,,4,42,https://www.yelp.com/biz/pret-a-manger-new-york-39?start=0
50074904,Yes,,,,,,,,,,,,,,,,,,,,,,Free,,Yes,,,,,,,,,,,,Moderate,A,4.5,51,https://www.yelp.com/biz/414-hotel-new-york?start=0
41610749,Yes,No,,No,Beer & Wine Only,,No,,No,No,,,No,Yes,Street,Yes,,Yes,No,,Yes,No,No,,Yes,"Hipster, Casual",Casual,,,Yes,No,"Breakfast, Brunch, Lunch",,Average,,,$11-30,A,4,1065,https://www.yelp.com/biz/mud-new-york-3?start=0
50047724,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,Yes,No,,Yes,Divey,,"Thu, Fri, Sat",No,Yes,,,Juke Box,Loud,,No,Inexpensive,A,4,393,https://www.yelp.com/biz/the-library-new-york?start=0
40387986,Yes,,,Yes,Full Bar,,No,,Yes,,,,No,Yes,Street,No,,Yes,Yes,,Yes,,Free,,,,Casual,,,Yes,No,Dinner,,Average,,,$31-60,A,3.5,673,https://www.yelp.com/biz/cafe-fiorello-new-york?start=0
50018800,Yes,,,,Full Bar,,Yes,,Yes,No,,,No,No,Street,No,,Yes,Yes,,No,,Free,,,"Casual, Classy",Casual,,,Yes,Yes,"Breakfast, Brunch, Lunch, Dinner, Dessert",,Average,,,$11-30,,4,204,https://www.yelp.com/biz/friedmans-new-york-63?start=0
40601189,Yes,,,,,,,,,,,,,No,,,,,,,,,No,,,,,,,,,,,,,,Inexpensive,A,2,2,https://www.yelp.com/biz/le-glacier-manhattan?start=0
41439621,Yes,,,No,,,,,,,,,,,,,,,,,,,Free,,Yes,,,,,,,,,,,,Moderate,A,4,57,https://www.yelp.com/biz/hampton-inn-manhattan-seaport-new-york?start=0
41531114,,,,,,,,,,,,,,,,,,,,,,,Free,,,,,,,,Yes,,,,,,,A,3.5,106,https://www.yelp.com/biz/walter-kerr-theatre-new-york?start=0
41635392,Yes,,,No,,,No,,,,,,,,Street,Yes,,Yes,,,,,No,,,,,,,,,,,,,,Moderate,A,4,122,https://www.yelp.com/biz/juice-generation-new-york-5?start=0
40824644,Yes,,,Yes,Full Bar,,Yes,,No,,,,Yes,Yes,Street,No,,Yes,Yes,,,,Free,,,Casual,Casual,"Tue, Fri, Sat",No,Yes,No,Late Night,,Average,,No,$11-30,A,3.5,369,https://www.yelp.com/biz/mercury-bar-new-york-7?start=0
40680918,Yes,No,,,Full Bar,,Yes,,No,,,,No,No,,Yes,,Yes,Yes,,Yes,Yes,No,,,,Casual,,,Yes,Yes,"Breakfast, Brunch",,Average,,,$11-30,,3.5,35,https://www.yelp.com/biz/elis-table-new-york-4?start=0
40559636,Yes,,,No,Full Bar,,Yes,,Yes,,,Yes,Yes,No,Street,Yes,,Yes,Yes,,Yes,,Free,,,Casual,Casual,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,3.5,105,https://www.yelp.com/biz/trattoria-bianca-new-york-3?start=0
40936973,Yes,,,No,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Moderate,A,5,2,https://www.yelp.com/biz/penguin-random-house-new-york-2?start=0
41159730,Yes,,,No,Full Bar,,No,,No,,,Yes,Yes,No,Street,Yes,,No,No,,,,No,,,Casual,Casual,,,Yes,No,Lunch,Juke Box,Loud,,No,$11-30,A,2.5,142,https://www.yelp.com/biz/shades-of-green-new-york?start=0
50072604,Yes,,,Yes,Beer & Wine Only,,Yes,,Yes,,,,No,No,Street,No,,Yes,No,,No,Yes,Free,,,Casual,,,,Yes,Yes,"Brunch, Lunch, Dinner",,Average,,,$11-30,A,3.5,133,https://www.yelp.com/biz/tender-greens-new-york?start=0
41618228,Yes,,,No,No,,Yes,,Yes,,,,Yes,No,Street,Yes,,Yes,No,No,,,Free,,,Casual,Casual,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,3.5,296,https://www.yelp.com/biz/luckys-famous-burgers-new-york-2?start=0
41591881,Yes,,,No,Full Bar,,,,,,,Yes,No,No,,Yes,,,No,,,,,,,Intimate,,,,Yes,,,,Quiet,,No,Moderate,A,4.5,94,https://www.yelp.com/biz/william-barnacle-tavern-new-york?start=0
41687431,Yes,,,No,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,Free,,,Casual,Casual,,,No,Yes,"Breakfast, Lunch, Dinner",,Average,,,$11-30,A,3.5,161,https://www.yelp.com/biz/stamina-grill-and-juice-bar-new-york?start=0
41331156,Yes,,,No,,No,,,,No,,,,,,,,,,,,,Free,,,,,,,,,,,,,,Moderate,A,3.5,186,https://www.yelp.com/biz/room-mate-grace-hotel-new-york?start=0
50059435,Yes,,,,No,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,Yes,,Free,,Yes,Casual,,,,Yes,Yes,Breakfast,,Average,,,Under $10,A,3,128,https://www.yelp.com/biz/garden-grill-brooklyn-3?start=0
50005183,Yes,,,No,,,No,,,,,,,,Street,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,Inexpensive,,4,153,https://www.yelp.com/biz/coco-fresh-tea-and-juice-new-york-5?start=0
50066840,Yes,No,,No,Full Bar,,Yes,,No,,,,No,Yes,Street,Yes,,Yes,Yes,,,,Free,,Yes,"Casual, Trendy",Casual,"Wed, Fri, Sun",,Yes,No,"Dinner, Late Night",,Average,,No,$11-30,B,3.5,265,https://www.yelp.com/biz/grey-lady-new-york?start=0
41276535,Yes,No,,No,Full Bar,,,Yes,,No,,No,No,Yes,Valet,No,,,Yes,,,Yes,Free,,Yes,,,,,Yes,,,,,,,Inexpensive,A,3.5,11,https://www.yelp.com/biz/paul-bar-and-restaurant-new-york?start=0
40662495,Yes,No,,No,Full Bar,,,,,,,,No,No,Street,Yes,,,Yes,,,,Free,,Yes,Intimate,,,,Yes,No,,Live,Loud,,No,Moderate,A,3.5,257,https://www.yelp.com/biz/joes-pub-at-the-public-new-york?start=0
41638085,No,No,,No,Beer & Wine Only,,Yes,No,No,,,No,No,No,Garage,No,,Yes,No,,Yes,Yes,Free,,,Casual,,,No,Yes,Yes,Brunch,,Average,,,$11-30,A,4.5,31,https://www.yelp.com/biz/amused-new-york?start=0
40391979,Yes,,,No,Full Bar,,No,,Yes,,,,Yes,No,Street,Yes,,Yes,No,,,,No,,,Casual,,,,Yes,Yes,"Breakfast, Brunch",,Average,,,$11-30,A,3.5,321,https://www.yelp.com/biz/madison-restaurant-new-york-2?start=0
40937036,Yes,,,No,Beer & Wine Only,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,Free,,Yes,Casual,Casual,,,Yes,Yes,Brunch,,Average,,,$11-30,A,3.5,2063,https://www.yelp.com/biz/penelope-new-york?start=0
50000803,Yes,,,No,Beer & Wine Only,,Yes,,Yes,,,,No,Yes,,No,,Yes,No,,,,Free,,,Casual,Casual,,,Yes,Yes,"Breakfast, Brunch, Lunch",,Average,,,$11-30,A,3,60,https://www.yelp.com/biz/le-pain-quotidien-new-york-128?start=0
40890184,Yes,,,No,Full Bar,,,Yes,,,,Yes,Yes,No,Street,No,,,Yes,,,,Free,,,Divey,,"Thu, Fri, Sat",Yes,Yes,,,Juke Box,Average,,Yes,Inexpensive,A,3.5,238,https://www.yelp.com/biz/snafu-new-york?start=0
50067236,Yes,,,No,Full Bar,,No,,Yes,,,Yes,Yes,No,Street,Yes,,Yes,No,,Yes,No,Free,,,Casual,Casual,,,Yes,No,"Lunch, Dinner, Late Night",,Average,,,$11-30,A,4,195,https://www.yelp.com/biz/american-retro-new-york?start=0
40393558,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,Yes,No,,,Casual,,,No,Yes,,,Juke Box,Average,,No,Moderate,A,3.5,98,https://www.yelp.com/biz/fitzgeralds-pub-new-york?start=0
50047825,Yes,,,No,Full Bar,,No,,Yes,,,Yes,No,Yes,,No,,Yes,Yes,,Yes,,Free,,,Casual,Casual,,No,Yes,No,Lunch,,Average,,,$31-60,,3.5,343,https://www.yelp.com/biz/l-amico-nyc-new-york?start=0
50056063,Yes,No,,No,Beer & Wine Only,,No,No,No,No,,Yes,No,No,Street,No,,Yes,Yes,,Yes,Yes,Free,,Yes,"Casual, Trendy, Intimate, Romantic",Casual,"Thu, Fri, Sat",No,Yes,No,"Brunch, Dinner",,Quiet,,,$11-30,A,4.5,74,https://www.yelp.com/biz/pop-and-pour-cafe-new-york-2?start=0
50074365,Yes,,,No,,,Yes,,No,,,,,,Street,Yes,,Yes,,,,,,,,,,,,,,,,,,,Moderate,,3.5,129,https://www.yelp.com/biz/yura-on-madison-new-york?start=0
50003273,Yes,,,No,,,,,,,,,,,Street,No,,Yes,,,,,No,,,,,,,,,,,,,,Inexpensive,,3.5,132,https://www.yelp.com/biz/red-mango-new-york-14?start=0
40510335,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,3,38,https://www.yelp.com/biz/devon-and-blakely-new-york-4?start=0
41722812,Yes,No,,No,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,No,,Yes,Casual,Casual,,,No,Yes,Lunch,,Average,,,$11-30,A,4,225,https://www.yelp.com/biz/dig-inn-new-york-15?start=0
41478031,Yes,,,,No,,Yes,,Yes,,,,No,No,Street,Yes,,Yes,No,,,,Free,,,,,,,Yes,Yes,"Brunch, Lunch",,Average,,,Under $10,,2.5,91,https://www.yelp.com/biz/guy-and-gallard-new-york-7?start=0
41223399,Yes,,,No,Full Bar,,Yes,,Yes,,,,No,Yes,Street,Yes,,Yes,Yes,,,,No,,Yes,Trendy,Casual,"Mon, Fri, Sat",No,Yes,No,"Brunch, Dinner, Late Night",,Loud,,No,$11-30,A,3.5,3077,https://www.yelp.com/biz/cafeteria-new-york?start=0
41688540,Yes,,,,No,,Yes,,No,,,,No,No,Street,Yes,,Yes,No,,,,No,,,,,,,No,Yes,Lunch,,Average,,,$11-30,A,2.5,42,https://www.yelp.com/biz/food-depot-gourmet-deli-new-york?start=0
40798867,Yes,,,No,Full Bar,,,,,,,,Yes,Yes,Street,Yes,,,No,,,,Free,,Yes,Casual,,"Thu, Fri, Sat",Yes,Yes,,,DJ,Average,,No,Moderate,A,3.5,154,https://www.yelp.com/biz/posh-new-york?start=0
41456472,Yes,,,No,Full Bar,,No,,Yes,,,,No,Yes,Street,Yes,,Yes,Yes,,,,Free,,,Casual,Casual,"Tue, Fri, Sat",No,Yes,No,,,Average,,No,$11-30,A,3,692,https://www.yelp.com/biz/b-bar-and-grill-new-york?start=0
41171815,Yes,,,,No,,No,,Yes,,,,No,No,Street,Yes,,Yes,No,,No,,No,,,Casual,Casual,,,No,Yes,"Breakfast, Lunch",,Average,,,Under $10,A,4.5,55,https://www.yelp.com/biz/gs-coffee-shop-new-york?start=0
41249167,Yes,,,No,Full Bar,,,,,,,Yes,Yes,Yes,Street,No,,,No,,,,Free,,Yes,Casual,,"Mon, Sat",No,Yes,,,,Average,,No,Moderate,A,3.5,60,https://www.yelp.com/biz/uncle-charlies-new-york?start=0
50063834,Yes,,,,Full Bar,,Yes,,No,,,,No,,Street,Yes,,No,Yes,,,,No,,Yes,,Casual,,,No,No,Dinner,,Average,,,$31-60,A,3.5,625,https://www.yelp.com/biz/vinegar-hill-house-brooklyn?start=0
50076092,Yes,No,,No,Full Bar,,No,,Yes,,,,No,Yes,Street,No,,Yes,Yes,,,,Free,,Yes,Casual,Casual,,,Yes,Yes,Brunch,,Average,,,$11-30,A,4,1085,https://www.yelp.com/biz/cafe-d-alsace-new-york?start=0
50068194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,A,4,54,https://www.yelp.com/biz/the-landmark-at-57-west-new-york?start=0
40599004,Yes,,,No,Full Bar,,,No,,,,Yes,No,No,Street,No,,,No,,,,Free,,Yes,"Divey, Casual",,"Thu, Fri, Sat",No,Yes,,,,Average,,No,Inexpensive,A,4,340,https://www.yelp.com/biz/botanica-bar-new-york?start=0
50000551,Yes,No,,No,No,,Yes,,Yes,,,,No,Yes,Street,Yes,,Yes,No,,,,Free,,Yes,"Hipster, Casual",,,,No,Yes,"Lunch, Late Night",,Average,,,Under $10,A,4,470,https://www.yelp.com/biz/wolfnights-new-york?start=0
40690158,Yes,,,No,No,,Yes,,Yes,,,,Yes,No,Street,No,,Yes,No,,,,Free,,Yes,Casual,Casual,,,Yes,Yes,Lunch,,Loud,,,$11-30,A,3,53,https://www.yelp.com/biz/fresco-on-the-go-new-york?start=0
50001547,Yes,No,,No,Full Bar,,No,,Yes,,,Yes,Yes,Yes,Street,No,,Yes,Yes,,Yes,,Free,,,,Casual,"Thu, Fri, Sat",,Yes,No,Brunch,,Average,,No,$11-30,B,4.5,452,https://www.yelp.com/biz/the-winslow-new-york-2?start=0
