,DBA,fetched_restaurant,similarity_index,sentiment_score,accepts credit cards,accepts bitcoin,accepts insurance,accepts apple pay,alcohol,by appointment only,caters,coat check,delivery,dogs allowed,hair types specialized in,happy hour,has tv,outdoor seating,parking,bike parking,smoking allowed,take-out,takes reservations,drive-thru,waiter service,wheelchair accessible,wi-fi,opened 24hrs,gender neutral restrooms,ambience,attire,best nights,good for dancing,good for groups,good for kids,good for,music,noise level,price range,has pool table,price_range,health_score,overall_rating,overall_reviews,restaurant_link,violation_score
40359480,1 EAST 66TH STREET KITCHEN,Tacuba Hell’s Kitchen,51.0,0.8232575,Yes,No,,No,Full Bar,,Yes,,Yes,No,,,Yes,Yes,Street,No,,Yes,Yes,,Yes,Yes,Free,,Yes,"Casual, Trendy",Casual,,,Yes,No,Dinner,,Average,,,$11-30,A,4.0,506.0,https://www.yelp.com/biz/tacuba-hells-kitchen-new-york?start=0,6.0
40362098,HARRIET'S KITCHEN,Harriet’s Kitchen,94.0,0.3936188405797101,Yes,No,,No,Beer & Wine Only,,No,,Yes,No,,,No,No,Street,Yes,,Yes,No,,No,Yes,No,,,Divey,Casual,,,No,Yes,"Lunch, Dinner",,Average,,,$11-30,A,3.0,138.0,https://www.yelp.com/biz/harriets-kitchen-new-york?start=0,15.6
40364362,21 CLUB,21 Club,100.0,0.7157445000000001,Yes,No,,No,Full Bar,,No,,No,No,,,No,No,Garage,No,,No,Yes,,Yes,Yes,Free,,,Upscale,Formal (Jacket Required),,,Yes,No,Dinner,,Average,,,Above $61,A,3.5,559.0,https://www.yelp.com/biz/21-club-new-york?start=0,12.0
40364389,OLD TOWN BAR & RESTAURANT,Old Town Bar & Restaurant,100.0,0.6085585,Yes,,,No,Full Bar,,No,,No,,,Yes,Yes,No,Street,Yes,,No,No,,,,No,,,,Casual,"Tue, Wed, Thu",,Yes,No,Dinner,,Average,,No,$11-30,A,3.5,360.0,https://www.yelp.com/biz/old-town-bar-and-restaurant-new-york?start=0,30.5
40364443,CRIMINAL COURT BLDG CAFETERIA,New York Public Library,38.0,0.6792834999999999,,,,,,No,,,,,,,,,,,,,,,,,Free,,Yes,,,,,,,,,,,,,A,4.5,821.0,https://www.yelp.com/biz/new-york-public-library-new-york-70?start=0,13.8
40364467,NYAC MAIN DINING ROOM,New York Athletic Club,28.0,0.5532,,,,,,,,,,,,,,,Garage,Yes,,,,,,,Free,,,,,,,,No,,,,,,,,3.5,59.0,https://www.yelp.com/biz/new-york-athletic-club-new-york?start=0,16.25
40365166,CORNER BISTRO,Corner Bistro,100.0,0.648874,No,,,No,Full Bar,,No,No,Yes,,,Yes,Yes,No,Street,Yes,,Yes,No,,Yes,,No,,Yes,Casual,Casual,"Tue, Wed, Thu",No,Yes,No,Dinner,,Average,,No,Under $10,A,3.5,1456.0,https://www.yelp.com/biz/corner-bistro-new-york?start=0,19.75
40365871,NEARY'S PUB,Neary’s,67.0,0.7543971830985916,Yes,,,,Full Bar,,No,,Yes,,,No,No,No,Street,No,,Yes,Yes,,,,Free,,,Classy,Dressy,,,Yes,No,,,Average,,No,$11-30,A,4.0,71.0,https://www.yelp.com/biz/nearys-new-york?start=0,12.0
40365968,NANCY WHISKEY PUB,Nancy Whiskey Pub,100.0,0.677867,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,,No,,Yes,Divey,,"Thu, Fri, Sat",,Yes,,,Juke Box,Average,,No,Inexpensive,A,4.0,203.0,https://www.yelp.com/biz/nancy-whiskey-pub-new-york?start=0,9.5
40367365,FLAME RESTAURANT COFFEE HOUSE,Pars Grill House,44.0,0.8544390625,Yes,,,,Full Bar,,Yes,,Yes,,,,Yes,Yes,Street,Yes,,Yes,Yes,,,,Free,,Yes,Casual,Casual,,,Yes,Yes,Dinner,,Average,,,$11-30,A,3.5,290.0,https://www.yelp.com/biz/pars-grill-house-new-york?start=0,12.0
40367373,JACKSON HOLE,Jackson Hole,100.0,0.6039335,Yes,,,No,Full Bar,,No,,Yes,,,Yes,Yes,No,Street,Yes,,Yes,Yes,No,Yes,,Free,,Yes,Casual,,,,Yes,Yes,"Lunch, Dinner",,Average,,,$11-30,A,3.5,293.0,https://www.yelp.com/biz/jackson-hole-new-york-7?start=0,9.0
40368271,CHERRY TAVERN,Cherry Tavern,100.0,0.5171312499999999,No,,,No,Full Bar,,,,,,,,Yes,No,Street,Yes,,,No,,,,,,,Divey,,,,Yes,,,,Loud,,Yes,Inexpensive,A,3.5,113.0,https://www.yelp.com/biz/cherry-tavern-new-york?start=0,24.333333333333332
40368338,BRADY'S BAR,Brady’s Bar,91.0,0.6955189655172413,Yes,,,No,Full Bar,,,,,,,Yes,Yes,No,Street,No,,,No,,,,,,,Casual,,,,Yes,,,Juke Box,Average,,Yes,Inexpensive,A,3.5,58.0,https://www.yelp.com/biz/bradys-bar-new-york?start=0,12.0
40368374,JIMMY'S CORNER,Jimmy’s Corner,93.0,0.586889,Yes,,,No,Full Bar,,,No,,,,Yes,Yes,No,Street,Yes,,,No,,,,No,,,Divey,,"Tue, Fri, Sat",No,No,,,Juke Box,Average,,No,Inexpensive,B,4.0,539.0,https://www.yelp.com/biz/jimmys-corner-new-york?start=0,13.25
