,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Jocelyn R.,"Jersey City, NJ",147,51,24,5.0,11/12/2018,Monkey room is the perfect place to go for a low key night of drinks with friends and great food! Ive been here twice and both times I've had the red sangria and the margaritas. The sangria is definitely the better one of the two and the pitchers are pretty big. It can be expensive if you don't go for their happy hour but I believe that it was well worth it.I reluctantly ordered the penne vodka with chicken thinking to myself that there is no way that dish from a bar could be amazing but it was more than amazing! I am currently drooling over the thought of the perfectly seasoned chicken and creamy vodka sauce. I really fell in love with it!If i lived closer by Monkey Room would be my new go to spot! I can't wait to visit again!,2,,2
1,Dhesiay T.,"Meatpacking District, Manhattan, NY",241,22,71,5.0,9/5/2018,"I love this place! I remember when i turned 25! I had an amazing time! I have like immense anxiety about large bills and people like banging it or not giving sufficient money... so i really loved that they split the bill into 2s. I had an amazing time! Good music, amazing people, hookah and great bartenders!  I never get tired of coming here... its like a guaranteed good time!  People are super friendly and nice! I recall the night of my birthday random people bought me drinks! Even on other times people were super cool and chilled! Parking is a little pain in the arse,  i recommend cab and or bus!",1,,
2,Sharinna L.,"Bronx, NY",116,3,1,5.0,10/18/2018,"Came here for our birthday earlier this month, and we had such a great time. Low key spot, bottle service and the bartender was so helpful!!! Hookah is $25.00 and $10.00 refill which is not bad. The music was on point, small space but really a good time. I will definitely be back soon!!!!",,,
3,Samantha K.,"Westgate, NY",0,4,6,5.0,10/7/2018,"Came in on a whim because it was close to where we were staying.... omg this place is so awesome! Hookah, drinks, and fucking awesome music with DJ! Guy knows his shit! Tenders are on point! Seriously been in NYC for 3 days and this is a great find!",,,
4,Katherine A.,"Washington Heights, Manhattan, NY",51,6,13,5.0,9/20/2018,"Delicious food and wonderful service!  everyone who worked there was pleasant and helpful.  they were on top of everything.  the staff seemed to be happy with their job, which made the environment palpably good spirited.  I'll definitely be coming back. Recommended this place 200% prices are very good as well.",,,
5,Ashley A.,"New York, NY",3,91,202,4.0,4/20/2018,"Pleasantly surprised by this Washington Heights gem! Came here for a happy hour and left well drank, full, and happy. The casual cool setting is comfortable and inviting. The sliders looked good and tasted even better. The best part of this meal was the mojito. The many drink and food options here make it a place to visit!",,,
6,Nicole G.,"Kingston, NY",65,18,13,5.0,7/4/2018,Been here twice with my bf and each time it has been fantastic! There are two rooms. One in the front with high rise tables and one in the back with booths called the monkey room. The roof can be opened which was pretty cool. Each time we went it hasn't been that crowded and the service was impeccable each time. We ordered the honey bbq wings and steak tacos. The bbq wing sauce is the best I've ever had and it has been unable to be beaten anywhere else. You have to try these. You don't even need the blue cheese dressing that comes with it. This sauce could be eaten with anything. The steak tacos were cooked to perfection and you have have them as well. The guacamole was fresh and delicious. The drinks are pretty cheap and very tasty. They make them perfectly. The service was awesome as well & we will definitely be coming back here.,,,2
7,Omar M.,"Bronx, Bronx, NY",2,17,0,1.0,6/14/2018,The regret I feel for ending up in this place is comparable to a drunk driver who runs down a person each time I end up here. 1 is it is always a sausage fest 2 the drinks are watered down and over priced 3  it feels like being a cockroach forced to live in a tightly packed can of sardines.I hate this place and I don't know why end up here but I have begged and demanded with the ppl I know to never end up here and what happens I always end up here. The only place worse is Dyckman bar.,,,
8,Irina G.,"Hawthorne, NJ",155,70,61,5.0,5/31/2018,"This spot is so popping and packed cannot get a spot edgewise. We didn't even get a chance to eat or drink but I will deF be back...They have a front outdoor section, high tops, bar and back that's open as well. Great set up",,,
9,Mariya Z.,"New York, NY",12,28,78,3.0,8/6/2017,"Cool drinks offer - just get there between 5 and 7. They have frozen margaritas!!! And we also tried ""coconut mojito"" which many places unfairly call so instead of piña colada with mint. Both drinks were acceptable but not greats. we also  have tried mozzarella sticks-  its not very impressive because they were bitter from cooked in not so fresh oil probably. The other great thing why I liked this place is the backyard! So nice to sit there! Oh and they have free hookah on Monday after 7 I believe with order. Yay!",,,
