,er_cool,er_date,er_freinds,er_funny,er_location,er_name,er_photos,er_rating,er_reviews,er_text,er_useful
0,,7/25/2018,303,,"New York, NY",Allie B.,205,4.0,224,"This cookie was probably only worth three stars, however it was only $1 !!  And the lady at the counter was super nice as well !",1
1,,2/2/2018,132,,"New York, NY",Matthew N.,56,4.0,31,"The model of efficiency. A tiny little place that has quality roasts and speciality drinks. The drip coffee I had wasn't too dark and let the berry flavor out. Smooth. Their specialty drinks, including lattes with seasonal spices, looked good. I had two tiny muffins that had a surprising burst of cream in the middle; tasty but small. The barista was polite but efficient, and didn't waste any words or movements fulfilling my order. The shop is strictly take out, as there are two small bar stools and a ledge and that's about all the hospitality you get. I would make this a regular stop on my AM coffee hunt.",
2,13,1/20/2017,1226,9,"San Francisco, CA",Elaine H.,5633,4.0,1749,"I must admit that I have passed by Stone Street multiple times in the morning, yet this is my only time trying it. SS is literally a hole in the wall, with at most five seatings squeezed inside the room. For a coffee shop, I actually love this sort of intimacy. Ordered my regular cappuccino to-go, and gladly discovered their pastry selection from Amy's bread. Barista was nice and quick. Lovely start of the weekend!",10
3,5,"7/3/2017
            





Updated review",2265,2,"Manhattan, NY",Jaimee A.,649,3.0,1601,"I have to knock a few stars off this review. We came back to the Stone Street Coffee Company today and don't get me wrong, the coffee was still great, but the service - meh. The women behind the counter was rude. Also, they now charge $.75 for the vanilla infused simple syrup. Seriously? $.75? How petty are you that you charge several dollars for a cup of coffee then you feel that you need to charge extra for simple syrup with a vanilla twig in it? The counter person kept chanting it too, taking the bottle out of my hand until I paid for it.I may have felt better about the $.75 if it came without the attitude but clearly the counterperson was giving that away for free.",7
4,,4/2/2017,81,2,"New York, NY",Kay W.,645,1.0,198,"Sorry really bad coffee. Can't believe I paid $5 for the almond latte, that's worse than Starbucks. It's too bitter. Im always up for organic boutique coffee shops, but just not this one.",1
5,1,2/26/2017,946,,"Brooklyn, New York, NY",Danny V.,34,4.0,131,"Stopped by this place after walking by and it piqued my curiosity. The homemade vanilla latte felt like the best drink to give them a chance to really shine, and it did. It was a tasty drink and the vanilla really popped in a unique way. That said, it didn't really taste like coffee nor did the milk strike me as particularly creamy. It just had a very nice sweet, vanilla flavor. Service was nice. Ambiance is a counter on the street. If I walk by again, I'll definitely try something else.",
6,4,4/17/2017,3282,1,"New Haven, CT",Jess L.,3309,4.0,4310,"Got a quick coffee to go on a weekend morning. The space is tiny, but there's still a good spot to perch a while and chat with the barista. Simple and smooth coffee at a competitive price. I'm always fascinated about how small coffee places like this can stay in business, but they do what they do well. There were a few pastries at the counter, as well.",5
7,,6/27/2018,0,,"Albany, NY",Meghan F.,0,1.0,1,"Upon ordering two freshly squeezed orange juices, I received two cups from their fridge. I thought that was weird, since it is advertised as fresh on the sign outside- but I thought maybe it was squeezed this morning which I am personally okay with. I paid for my juices and left without trying them, having trusted that stone street coffee would know what all fresh OJ drinkers know: THE TASTE OF NOT FRESH OJ.  They charged me $7 for two cups of Tropicana. They also didn't answer the phone when I called to complain. This happened like 16 minutes ago. I will never go back.",
8,,2/13/2018,583,,"Chelsea, Manhattan, NY",Peter N.,0,4.0,10,"Delicious locally roasted coffee, efficient baristas make good espresso drinks as well. Also have had good luck buying coffee beans here for my home brew needs. The pastries and baked goods are sort of small and expensive.",
9,1,6/15/2016,0,1,"New York, NY",George C.,14306,4.0,7750,"The address (in Chelsea) is nowhere near Stone Street, but their large chocolate macaron was an OK way to drop $3, and the staffer very friendly. Pre-auth ppears on CC as BATHTUB GIN.You're 2 visits away from a Rewardat Stone Street Coffee        You earned 15 Points! That's 10 Bonus Points for your first visit.25POINTSOne Delicious Cookie For You Get even more Rewards Here!40POINTSStart Your Day With A Free Medium Coffee55POINTSAny Specialty Coffee Drink For You75POINTSHey Muffin! Have A Muffin On Us",1
10,,12/12/2017,1,,"New York, NY",Jessica L.,2,5.0,24,"Just happened to walk by this Gem and noticed a sweet boxer puppy by the door, soooo glad I stopped to grab a coffee! Not only was it one of the BEST Cappuccinos I've ever had, but the barista was really sweet! Will def be back!",
11,,11/6/2017,79,,"Bronx, NY",Joshua S.,3,5.0,11,Service  with a smile. Great coffee.  Great pastries. Any time of day. Fair priced for the area too.,
12,,6/19/2017,67,,"Brooklyn, NY",Flint R.,12,5.0,11,I definitely have to tip my hat off to this incredibly delicious coffee spot!! The atmosphere and the barista was absolutely amazing. I love walking into places that make you feel at home!,1
13,,2/25/2018,0,,"Manhattan, New York, NY",Barbara W.,0,2.0,2,"Lacking in customer service.  I visited the store yesterday to buy beans.  the guy behind the counter was unable to explain the difference in the variety of beans they offer.  He seemed frazzled and hyped up on something (maybe too much coffee).  There are other coffee shops nearby that employ professional, knowledgeable baristas.",
14,,8/2/2017,62,,"Upper West Side, Manhattan, NY",Rodrigo G.,8,5.0,124,"Best iced mocha in NYC plus if you go in the morning, Elena is an amazing host and always has an large smile to clients.",
15,,2/28/2017,28,,"Manhattan, NY",Anne E.,0,5.0,7,So cute! You can order from the street through a window or enter into the shop. The shop is very cute and the staff is nice. The latte's are delicious and the baked good are too! Reasonably priced.,1
16,,8/14/2016,32,,"New York, NY",Cody C.,112,4.0,51,After walking around NYC all day in the sweltering heat I was dying for something cool and refreshing to try. This little cafe was on our way to the parking garage and we decided to pop in. It is a very quaint shop with limited bar seating. I decided to try out their iced mint tea. I poured in some honey and it helped balance out the mintiness of it. I love anything mint so I was a big fan of the tea. It was very cold and refreshing and hit the spot after a long day of walking.,
17,1,3/27/2014,280,1,"New York, NY",Dane M.,57,4.0,85,"Love Stone Street Coffee Company. Great place to stop after lunch and have a great espresso based beverage. There usually is a young woman behind the counter who is always pleasant and a huge dog lover and has treats for them. I always have a cappuccino (smooth not bitter or acidic). I recently purchased a Chocolate French Macaron. I stood out front Stone Street and devoured the French pastry and sipped my cappuccino. I started my walk back to the apartment on 7th when half way through remnants were still dancing around in my mouth. I stopped and went back or an additional Chocolate Macaron.This place is more than a GREAT coffee shop, during the afternoon hours a saloon opens up in the back. The wall you are facing when you enter has a secret door but you would't know because it is painted blue and has a large framed picture hanging from the door ;0)Food: Coffee and pastries are very good.Service: Pleasant and cheerful (The Young Woman)Decor: Very cozy and warm. Haven't visited the saloon yet",2
18,,9/21/2016,110,,"Brooklyn, NY",Philip W.,756,4.0,257,Essential no seating area and the parties looked terrible but the espresso went down quite smoothly,1
19,,6/1/2014,207,,"New York, NY",Tina W.,4045,4.0,528,Ordered the iced white chocolate pumpkin latte! So good! Comparable to Starbucks but at a cheaper price! The shop is small and has stools on the side. There's actually a door that leads to a hidden bar/lounge. Check it out if you're interested.,1
20,1,3/5/2016,146,2,"New York, NY",Yuki B.,15,3.0,154,"Hello dear humans and coffehumans.Today I'm going to write a review that well it is hard to write. My dear girlfriend and I were walking towards ninth street espresso at Chelsea market when we stumbled upon a place we haven't seen before... This one!! Very small very interesting and also nice because they use their own coffee and let me tell you, it is very good.Now, they reason why I'm sad is because when I ordered my espresso and iced coffee the barista place my espresso in a to go cup, espresso shouldn't be placed in a to go cup... But that was my mutate for not specifying such a terrible act.Now, the barista grabbed a plastic cup and poured straight from the machine, the espresso shot... WHY!!!!!! No one should do that ever... Ever... Not even f it is convenient. Pouring hot contents into plastic is a terrible thing.... Please never do this, that's why I had to give three stars! God never do that for anything!!!!",3
21,1,7/20/2015,7,,"Richland, WA",Melanie L.,1,1.0,92,"I think the barista was having a horrible day; at least I hope  that would explain his attitude. It's like he would have rather been doing anything than working. Rude, acted like he was completely put out when I asked for an iced drink, absolutely no response when the cup lids were out of stock and we asked for lids. Just handed them over and took his sweet time. Bummer because the shop is cute & small and plays great music.",
22,,8/18/2015,2,,"Manhattan, NY",A N.,0,5.0,2,"Try the homemade vanilla latte, it's a divine, sweet, natural taste. Miles better than the fake vanilla syrup at Starbucks.Friendly service; check the take out window, if in a hurry.",
23,,8/23/2012,638,,"Long Island, NY",Bill S.,4794,4.0,2402,"Pretty good coffee with a window to service the outside? Very cool.Small fact about Stone Street Coffee Company, it;s a father and son operation. And they're Greek! (I'm half Greek) Friggin Opa to you!They busted out a plant in Brooklyn, started roasting coffee beans and sell the blend to some high end restaurants in NYC. Nice goin' guys, keepin' it real in my NYC!Anyhoo, swung by today for a Caffè macchiato and a chocolate croissant. Pretty good place to grab a coffee and go. I now have four of my favorite places to go in this area! I love coffee and if you love it as much as me? Swing by and support this place.Trust me.. Opa!",3
24,,10/11/2015,122,,"Verona, NJ",Lenny G.,6,5.0,9,"I know everyone says that they know the best coffee spot, but this is truly the best coffee spot in town. I have traveled all over the world and never had a better latte. Brooklyn coffee roasters do the best latte. Definitely a must check out spot for anyone living or visiting in NYC.",1
25,,12/28/2012,109,,"New York, NY",Gloria F.,60,5.0,323,"What a cute little neighborhood coffee stand!  I stumbled upon stone street on my way back from my morning gym routine, and its one of my favorite look forward to events post workout.  Elena, the barista, is there most mornings, and she is a complete sweetie.  She knows most regular's java of choice. This joint is small so if you are thinking of lounging with cafe, croissant and wifi, this is not your place.  Theres no seating.  However, there is walkup window and indoor service.  If you swing by late, the back of the coffee shop is a speakeasy called bathtub gin.",
26,,1/16/2016,257,,"Playa Del Rey, Los Angeles, CA",Marcela C.,55,5.0,58,"Tiny, cozy awesome and sweet barista. Pastries are limited but there drip coffee and espresso coffee is on point.",
27,,3/16/2012,758,,"Manhattan, NY",Sean S.,36,4.0,1660,"Heading back downtown from my runin with blue bottle, I decide why not take a detour, and head west for round two.I had bumped into this space a week or two ago, finding my way to Bathtub Gin, the super exclusive let down parked behind.  So I had made a note to check back for coffee soon.The space is tiny, with three stools, and standing room as well.  That means not a lot of stragglers, and a chance to chat with the barristas.  They are super cool, and pull a shot that is creamy and delicious.  There is also a window to the street, where they also take orders, a nice addition.  It's not often I get out to Ninth avenue, and the Western hinterlands, but next time I do, this place will definitely be on my radar.",1
28,,9/14/2014,62,,"San Francisco, CA",Scott H.,64,5.0,531,Super friendly.  Called me by name.  No min on credit card.  Insanely good banana bread.  Great coffee.  Walk up window for when you're on your bike or with your dog.  Love.,
29,5,8/1/2013,2063,1,"Chicago, IL",Erica G.,802,5.0,195,"While staying around the corner at the Dream Downtown hotel, I was NEEDING some coffee one morning. I thought I would make it to Starbucks being such a sucker for those gold stars accumulating on my app for a free drink, but ended up being gravitationally pulled into Stone Street. This seems counter-intuitive, but the walk-up window made me walk inside. Everyone outside just looked so happy. Their dogs looked happy. The barista helping them looked happy. Once inside, I saw there was not much seating area, but the service was exceptional and made me wish I was a local.I ordered a blueberry scone (the pastries are from Amy's Bread) and a soy latte. They have Guatemalan coffee, which makes the coffee dark (almost bitter), but really good.Being just down the street from Chelsea market, you should make your way over to this little place. All that happiness and they have a membership program for all of you that are as neurotic as me about your accumulation toward free future coffee.",5
30,,11/11/2014,15,,"Brooklyn, NY",Maggie B.,1,1.0,64,"It sounds like this place is really great. Unfortunately I didn't go in because there was a bouncer outside who was bad at his job. He kept repeating ""hello"" to me in a way that made me feel like he was just some guy on the street trying to get my attention. My auto response to that is to ignore, plus I've never seen a bouncer outside a coffee shop. By the time I realized what was going on I was annoyed and alienated. If there's a speakeasy inside then the bouncer should be inside too.",
31,2,8/5/2011,44,1,"Manhattan, NY",Paul W.,1154,3.0,157,"One thing I really don't understand about this city is the lack of coffeehouses that stay open late. Not talking Starbucks, not talking diners. Coffeehouses. It seems like the majority of them set their hours on an inverse relationship to their 'coffee seriousness'. What's going on there?Tonight a friend and I stumbled across a place that approaches a 'serious' coffee joint that doesn't slam shut before the vampires rise. Well, he stumbled across it and I glommed on.See, I was just giving myself the compulsory post-movie-bed-bug-brush-down after the latest Harry Potter flick at Lincoln Square. Then a text came in: 'Just passed coffee place it's open. Meet at 18th & 9th Av.' Time sent: 10:47 PM. I dashed for the 1.Lo and behold, there was Stone Street Coffee, all shiny and new. It looked good. Sure smelt good. There didn't appear to be any seats at the counter so we prepared to order at the takeaway window. The friendly barista beckoned, 'Come in. I'll get you a chair.' The latte was good. Nice flavour and temperature. My friend got an iced decaf coffee. No complaints from either of us.BUT...Stone Street is probably not a place to linger and enjoy your coffee. For one thing, the shop front is tiny, with enough room for maybe 3 stools at the counter.Then there's the fact that it serves as the unofficial vestibule for a bar/lounge. This lounge isn't marked except for a flashing red bulb over a door off to the side. And the loud thumping music. And the steady stream of people issuing from that unmarked door under the red flashing bulb. And the crowd of seemingly inebriated people milling outside the shop entrance. One dude (for lack of a better term...or any other term, as it were) stuck his head in the takeaway window and commented on the attractiveness of the espresso machine. Then he made a grab for my latte as the barista finished his pour.OK, I guess I am complaining a bit and making the place seem pretty awful. Honestly, that's not my intent. In the end, I'm still excited to see a place within 15 miles of my apartment serving nice coffee past 9 PM. I know, sad, right? But, fuck, sometimes I just want a goddamn latte with the arty foam and stuff after the sun has set. They also have treats from Financier Patisserie. Nice, right? (Oh, but my macaron was somewhat shitty. Ah, I'm such an asshole.)I imagine that this would be a pretty cool place to check out in the daytime. In the future, I'd probably get a latte to go and take a walk. It'd be past 9 PM and I'd be pretty happy.",3
32,,8/30/2015,9,1,"Shrub Oak, NY",Jacquelyn R.,8,5.0,120,Continuing our girls day i had a hankering for non-starbucks coffee and we happened upon this hole in the wall. It is a very tiny place and the barista guy was very friendly and knowledgeable. My sis ordered an iced americano and i got a fresh drip pour of the sumatran coffee. The coffee was awesome! Two days later i am still craving it. The prices were fair and the coffee options were endless. There many neat little surprises here so it is so worth the visit!,
33,,8/12/2013,143,1,"Brooklyn, NY",K I.,4,4.0,29,"Cortado fans, assemble! You can get an iced coffee or a doppio macchiato anywhere. The places that serve delicious, silky and rich cortados are few and far between. If you're a fan, do yourself a favor and check out Stone Street.Don't come here with your laptop or a book hoping to crash for an hour. The seating is very minimal (wouldn't even consider it ""seating""), but the coffee is good, the vibe is welcoming, and the cortados are enough to keep me coming back.",2
34,,5/11/2014,471,,"Queens, NY",Elsie W.,3944,4.0,1704,"Small shop, great iced coffee. It's a grab and go kind of place. Can't wait to come back for the secret bar. They also have macarons, yogurt, fruits, pastry things.",
35,,11/17/2016,1,,"New York, NY",Ellen C.,0,5.0,12,"Delicious coffee and excellent, friendly service. A lovely neighborhood spot for anyone looking for a great cup of coffee.",
36,,12/17/2013,495,,"Huntington Station, NY",Remi C.,106,5.0,490,"Delicious coffee and an awesome barista. Ok, it was Thanksgiving, and nothing else was open, and this poor girl was stuck working there. It was the middle of the day and she hadn't even had any customers. Here we come, and she was so excited to see us, we were excited to see her, and the coffee was DELICIOUS. Actually, everything was so good that we basically bout tons of coffee to take home and a couple of macaroons. Good to know there's a good coffee place in the area, because my usual go to was Joe, but I'm definitely going to be coming here from now on!",
37,1,4/2/2013,137,,"New York, NY",Sara S.,484,3.0,127,Cute small coffee shop. Either walk in on a rainy day or go for the quick pick up by the window!Coffee a bit too bitter for me but the nice staff will bring me back.Pastries are from Amy's Bread so probably yummy!,1
38,,7/22/2015,9,,"Short Hills, NJ",Pradeep G.,26,4.0,139,"who knew abt the hidden lounge :)....was a sweet find on a sat night...people walking by would come up to us and ask if we were in line for coffee :) crammed for room but good hands behind the bar counter, loved the cocktails",
39,,8/5/2015,1,,"Staten Island, NY",Christina B.,0,4.0,32,I'm a loyal Starbucks Iced Chai Tea drinker but I'm always looking to find a good spot to try a new chai tea. Well I found it! I LOVED it! The taste was perfect. Only downfall is its more pricey then a Starbucks drink but it's definitely worth the try!,
40,,7/2/2016,0,,"Plano, TX",Susie R.,0,5.0,5,"Probably the best coffee and homemade banana bread I've ever had!.. Was recommended by a friend and Its amazing ! The environment is adorable and small... Yet, like your best friends house.. Comfortable..",
