CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40364518,7B BAR,MANHATTAN,108,AVENUE B,10009.0,2126776742,American,2017-10-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13.0,A,2017-10-16,2018-11-12,Cycle Inspection / Re-inspection
40367189,BROOME STREET BAR,MANHATTAN,363,WEST BROADWAY,10013.0,2129252086,American,2017-05-02,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,2017-05-02,2018-11-12,Cycle Inspection / Initial Inspection
40371718,ZAFI'S LUNCHEONETTE,MANHATTAN,500,GRAND STREET,10002.0,2125332415,American,2016-03-15,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10.0,A,2016-03-15,2018-11-12,Cycle Inspection / Initial Inspection
40376352,BLUE NOTE JAZZ,MANHATTAN,131,WEST    3 STREET,10012.0,2124750049,American,2015-04-15,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,20.0,A,2015-06-05,2018-11-12,Cycle Inspection / Initial Inspection
40380559,SUPERNOVA-NOVOTEL HOTEL,MANHATTAN,226,WEST 52 ND STREET,,2123150100,American,2018-09-12,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9.0,A,2018-09-12,2018-11-12,Cycle Inspection / Re-inspection
40382395,COOGAN'S,MANHATTAN,4015,BROADWAY,10032.0,2129281234,American,2015-08-20,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12.0,A,2015-08-20,2018-11-12,Cycle Inspection / Initial Inspection
40387861,WESTWAY DINER,MANHATTAN,614,9 AVENUE,10036.0,2125827661,American,2015-04-27,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23.0,C,2016-11-22,2018-11-12,Cycle Inspection / Initial Inspection
40388225,HOLLAND BAR,MANHATTAN,532,9 AVENUE,10018.0,2125024609,American,2017-04-13,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,7.0,A,2017-04-13,2018-11-12,Cycle Inspection / Initial Inspection
40389356,TOM'S RESTAURANT,MANHATTAN,2880,BROADWAY,10025.0,2128646137,American,2016-03-16,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,7.0,A,2017-12-19,2018-11-12,Trans Fat / Initial Inspection
40393378,E.J LUNCHEONETTE,MANHATTAN,1271,THIRD AVENUE,10021.0,2124720600,American,2016-01-22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,17.0,A,2018-06-06,2018-11-12,Cycle Inspection / Initial Inspection
