CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40364389,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003.0,2125296732,American,2018-10-11,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12.0,A,2018-10-11,2018-11-12,Cycle Inspection / Re-inspection
40369810,PETE'S TAVERN,MANHATTAN,129,EAST   18 STREET,10003.0,2124737676,American,2018-05-29,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6.0,A,2018-05-29,2018-11-12,Cycle Inspection / Initial Inspection
40379304,GOTHAM BAR & GRILL,MANHATTAN,12,EAST   12 STREET,10003.0,2126204026,American,2017-06-28,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12.0,A,2017-06-28,2018-11-12,Cycle Inspection / Re-inspection
40379920,E.A.T. CAFE,MANHATTAN,1064,MADISON AVENUE,10028.0,2127720022,American,2016-10-04,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,20.0,A,2016-11-09,2018-11-12,Cycle Inspection / Initial Inspection
40385161,AUTOMATIC SLIMS,MANHATTAN,733,WASHINGTON STREET,10014.0,2126458660,American,2016-01-08,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,42.0,A,2016-06-21,2018-11-12,Cycle Inspection / Initial Inspection
40386508,NEW YORK UNIVERSITY - LAW SCHOOL,MANHATTAN,110,WEST THIRD STREET,10012.0,2129986498,American,2017-10-31,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2015-12-07,2018-11-12,Cycle Inspection / Compliance Inspection
40388578,DIVE BAR,MANHATTAN,732,AMSTERDAM AVENUE,10025.0,2127494358,American,2017-03-29,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17.0,A,2015-12-14,2018-11-12,Cycle Inspection / Initial Inspection
40394007,NIAGARA/ LOVERS OF TODAY/ SISTER MIDNIGHT,MANHATTAN,112,AVENUE A,10009.0,2124209517,American,2017-02-28,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13.0,A,2017-02-28,2018-11-12,Cycle Inspection / Initial Inspection
40396494,CORNER CAFE AND BAKERY,MANHATTAN,1645-1651,THIRD AVENUE,10128.0,2128608060,American,2015-12-08,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A,2015-01-28,2018-11-12,Cycle Inspection / Initial Inspection
40397624,LE MIRAGE CAFE,MANHATTAN,20,WEST   43 STREET,10036.0,2123541234,American,2015-09-02,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,20.0,A,2016-05-27,2018-11-12,Cycle Inspection / Initial Inspection
40400185,CAFE BEYOND,MANHATTAN,620,6 AVENUE,10011.0,2126209752,American,2016-02-16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,18.0,A,2016-09-26,2018-11-12,Cycle Inspection / Initial Inspection
40401453,JAKE'S DILEMMA,MANHATTAN,430,AMSTERDAM AVENUE,10024.0,2125800556,American,2016-11-01,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2016-11-01,2018-11-12,Cycle Inspection / Initial Inspection
40402377,REGENCY WHIST CLUB,MANHATTAN,15,EAST   67 STREET,10065.0,2127341734,American,2015-11-16,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7.0,A,2015-11-16,2018-11-12,Cycle Inspection / Initial Inspection
40403586,THE UNIVERSITY CLUB,MANHATTAN,1,WEST   54 STREET,10019.0,2125723420,American,2015-10-02,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,11.0,A,2015-10-02,2018-11-12,Cycle Inspection / Initial Inspection
40404080,LAZARD FRERES,MANHATTAN,30,ROCKEFELLER PLAZA,10112.0,2126326173,American,2017-01-06,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7.0,A,2017-01-06,2018-11-12,Cycle Inspection / Initial Inspection
40482586,BOOTH THEATER,MANHATTAN,220,WEST 45 STREET,10036.0,2125867610,American,2015-11-10,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9.0,A,2015-11-10,2018-11-12,Cycle Inspection / Initial Inspection
40513609,SKYLIGHT DINER,MANHATTAN,402,WEST   34 STREET,10001.0,2122440395,American,2016-12-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2016-12-23,2018-11-12,Cycle Inspection / Re-inspection
