,er_name,er_location,er_freinds,er_reviews,er_photos,er_rating,er_date,er_text,er_useful,er_funny,er_cool
0,Melinda B.,"Brooklyn, NY",119,88,49,3.0,9/22/2015,Your typical midtown we-have-it-all-here type of place. They were insanely busy but still quick at the register. I opted for the salad/buffet bar mainly because I didn't have a lot of time to wait around for food but for that and a large coffee it came to almost $10. Pretty on par with anything you're getting in midtown.The grilled chicken was juicy much to my surprise but the quinoa and couscous were sweet which I wasn't too crazy about. All in all I'm sure I'll be back since it's conveniently around the corner but I wont be rushing to get here.,2,1,2
1,Amelia Z.,"Brooklyn, NY",149,66,486,5.0,7/17/2017,Prompt delivery. Fresh salad. Yummy dressing. Decent size. Very good price! The most affordable lunch salad I've ever had in this area. Avocado grilled chicken salad is my fave from here.,,,
2,B H.,"Pasadena, Los Angeles, CA",28,18,0,1.0,9/28/2017,I witnessed the manager verbally abuse his female employee in front of all the customers. I told the manager that he shouldn't treat his employees like that and to respect everyone. He started yelling at me and saying that he could talk to her in any way that he wanted. I would never go there again and I advise you not to go there either.,1,,
3,Barbara G.,"Pocono Pines, PA",0,9,0,3.0,4/25/2018,"The pizza here is delicious, but if you order anything with fries, be careful.  I've gotten fries that tasted like onions because they fry everything in the same oil.  Their buffet is excellent, fresh, tasty & a great variety.  The pizza guy & the cashier are very nicer and always welcoming.",,,
4,Ebony B.,"Jersey City, NJ",110,4,0,5.0,10/10/2017,"Disappointed that they never have the buffalo chicken strips on the buffet anymore but I love their food and the people are super nice there.  The buffet is a little pricey though, by comparison.... but then again the food is so much better by comparison.... so I guess it's a trade-off.  The other food there is reasonably priced.",,,
5,Jay H.,"New York, NY",186,71,0,4.0,6/8/2016,"This place is around the corner from my office and I find myself here a couple of times a week, always for lunch. It's huge - soups, sandwiches, juices, pizza and two large buffet tables with salads and hot foods. That's what I tend to focus on. A container of salad and some protein will normally run around $12-14, which isn't cheap, but it's great quality. Quick service and good fresh food. What more can one ask for during lunch in midtown?",1,,
6,Long K.,"Bellevue, WA",110,427,1035,2.0,4/5/2014,"Typical Midtown quick eats place except they have a few features worth noting. Check off the usual standard cafe: grill, deli sandwich and pizza counterBut there's a per pound buffet which is different from any other lunch place around. BEWARE though, couple pieces of protein,some salad or carbs here and there might easily cost you over $8 after the weight is calculated. It wont even feel like you fileld up your container with that much food for the cost. About half the selection rotates rotates daily. Some items are bland, others like the salmon(depending on seasoning) may be worth it.The grill at the back makes decent but slightly pricey burgers for a cafe. The seasoned/cajun fries are a steal at only $3 for an order! Not starchy and bland like your typical cafe order.Make your own Pasta Station - Everything is bland. Watching the guy move at molasses speed when that's his only job doesn't help either. I've seen him forget to even put pasta in my friend's order...nothing like eating a few pieces of protein and soupy sauce w/o pasta.",3,1,1
7,Juggernaut N.,"Manhattan, NY",1,10,40,3.0,5/5/2015,"A bit expensive but has lot of varieties! Fast register! They have it all, hot buffet, pizza, salad bar and juice bar!!! It will be much better if they cut it down on the salt in their hot food!!",2,,
8,Andy K.,"Manhattan, NY",28,6,0,4.0,11/14/2016,"Almost like a food court, they have it all. Salads, Sandwiches, Pizza, Salad bar. Food is good for the most part, especially grilled chicken, rosted and grilled vegies, eggplant dished and humus. Most of the salad bar relates to Turkish-Lebanese flavors. Salad bar is quite expensive option for lunch expect to spend $11+ for Medium quantity without drink. Ambience ... well if that's important to you, you may want to skip. Its great optuon if you just take it out and planning to eat at the plaza or at your desk.",,,
9,Fari M.,"Bergenfield, NJ",2,28,7,5.0,6/1/2016,"I have been going to college next to this place for one year and I never came to this place for lunch. One day my friend decided to study here until class and I joined her. In the midst of studying they were setting up the lunch buffet and OMG SO MUCH VARIETY!!!! To my surprise the food was top notch and there were plenty of delicious healthy options. My only regret is not coming in here sooner. Usually my only healthy options were DD (not healthy) and a salad (boring). This place has diff types of fish, and a wide array of pinterest style mixed salads and vegetables. YUM!!! Now I come here every day for breakfast and lunch. Bye bye nursing school pounds!",,,
