CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019.0,2125827200,American,2018-06-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2018-06-23,2018-11-12,Cycle Inspection / Re-inspection
40365968,NANCY WHISKEY PUB,MANHATTAN,1,LISPENARD ST,10013.0,2122269943,American,2016-03-18,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,8.0,A,2016-03-18,2018-11-12,Cycle Inspection / Re-inspection
40366381,DANGERFIELD'S NIGHT CLUB,MANHATTAN,1118,1 AVENUE,10065.0,2125931650,American,2016-02-24,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,A,2016-02-24,2018-11-12,Cycle Inspection / Initial Inspection
40367365,FLAME RESTAURANT COFFEE HOUSE,MANHATTAN,893,9 AVENUE,10019.0,2127657962,American,2018-01-24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,2018-01-24,2018-11-12,Cycle Inspection / Re-inspection
40376515,AMERICAN MUSEUM OF NATURAL HISTORY FOOD COURT,MANHATTAN,,W 79 STREET,10024.0,2127695370,American,2018-03-08,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,2018-03-08,2018-11-12,Cycle Inspection / Initial Inspection
40387990,T.G.I. FRIDAY'S,MANHATTAN,47,BROADWAY,10006.0,2124838321,American,2018-07-31,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,A,2018-07-31,2018-11-12,Cycle Inspection / Initial Inspection
40388218,WALKER'S RESTAURANT,MANHATTAN,16,NORTH MOORE STREET,10013.0,2129410142,American,2015-11-30,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11.0,A,2015-11-30,2018-11-12,Cycle Inspection / Initial Inspection
40392668,LUCYS,MANHATTAN,135,AVENUE A,10009.0,2126733824,American,2014-09-18,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9.0,A,2014-09-18,2018-11-12,Cycle Inspection / Initial Inspection
40393558,FITZGERALD'S PUB,MANHATTAN,336,THIRD AVENUE,10010.0,2126796931,American,2016-11-28,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13.0,A,2016-11-28,2018-11-12,Cycle Inspection / Initial Inspection
40399057,9TH AVE SALOON,MANHATTAN,656,9 AVENUE,10036.0,2123071503,American,2016-03-21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26.0,A,2015-02-26,2018-11-12,Cycle Inspection / Initial Inspection
40401422,BROADWAY DIVE,MANHATTAN,2662,BROADWAY,10025.0,2128652662,American,2016-05-02,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,2016-05-02,2018-11-12,Cycle Inspection / Re-inspection
40402393,HARVARD CLUB,MANHATTAN,27,WEST   44 STREET,10036.0,2128406600,American,2016-03-21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2016-03-21,2018-11-12,Cycle Inspection / Initial Inspection
40402527,MADISON SQUARE,MANHATTAN,51,MADISON AVE,10010.0,2125766303,American,2018-03-23,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,2018-03-23,2018-11-12,Cycle Inspection / Initial Inspection
40404024,THE PENN CLUB,MANHATTAN,30,WEST   44 STREET,10036.0,2124036544,American,2017-08-08,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,12.0,A,2017-08-08,2018-11-12,Cycle Inspection / Initial Inspection
40483697,LUNT FONTANNE THEATER,MANHATTAN,205,WEST   46 STREET,10036.0,2123544624,American,2015-11-05,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4.0,A,2015-11-05,2018-11-12,Cycle Inspection / Initial Inspection
40510335,DEVON & BLAKELY,MANHATTAN,250,PARK AVENUE,10177.0,2126610101,American,2017-05-02,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6.0,A,2017-05-02,2018-11-12,Cycle Inspection / Initial Inspection
40535399,VON,MANHATTAN,3,BLEECKER STREET,10012.0,2124733039,American,2018-02-06,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,22.0,B,2018-06-25,2018-11-12,Cycle Inspection / Initial Inspection
40545130,SPEEDY'S DELI,MANHATTAN,1271,BROADWAY,10001.0,2126838997,American,2017-07-24,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,17.0,A,2018-07-16,2018-11-12,Cycle Inspection / Initial Inspection
40559636,TRATTORIA BIANCA,MANHATTAN,481,8 AVENUE,10001.0,2122688460,American,2017-04-24,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22.0,A,2018-06-19,2018-11-12,Cycle Inspection / Initial Inspection
40560945,AMBASSADOR THEATRE,MANHATTAN,219,WEST   49 STREET,10019.0,2125867610,American,2018-06-09,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,2.0,A,2015-11-19,2018-11-12,Administrative Miscellaneous / Initial Inspection
40564625,WAKAMBA,MANHATTAN,543,8 AVENUE,10018.0,2125642042,American,2016-05-10,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,9.0,A,2016-05-10,2018-11-12,Cycle Inspection / Initial Inspection
40571896,TURTLE BAY GRILL AND LOUNGE,MANHATTAN,987,2 AVENUE,10022.0,2122234224,American,2018-02-12,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32.0,A,2017-06-05,2018-11-12,Cycle Inspection / Initial Inspection
40592285,BOWLMOR CHELSEA PIERS,MANHATTAN,60,CHELSEA PIERS,10011.0,2128352695,American,2016-11-14,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,17.0,A,2017-02-21,2018-11-12,Cycle Inspection / Initial Inspection
40592566,FRED'S,MANHATTAN,476,AMSTERDAM AVE,10024.0,2125793076,American,2017-07-27,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7.0,A,2017-07-27,2018-11-12,Cycle Inspection / Initial Inspection
