,DBA,fetched_restaurant,similarity_index,sentiment_score,Accepts Credit Cards,Accepts Bitcoin,Accepts Insurance,Alcohol,Appointment Only,Caters,Coat Check,Delivers,Dogs AllowedHair Types Specialized In,Happy Hour,TV,Outdoor Seating,Parking,Smoking Allowed,Take-out,Takes Reservations,Waiter Service,Wheelchair Accessible,Wi-Fi,Opened 24hrs,Gender Neutral BathroomsAmbience,Attire,Best Nights,Good For Dancing,Good For Groups,Good For Kids,Good For Meals Served,Music,Noise Level,Price Range,health_score,overall_rating,overall_reviews,price_range,violation_score
40396488,AUCTION HOUSE,Fortuna Auction House,76.0,0.8911999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.333333333333332
40398690,DOC HOLIDAYS,Doc Hollidays,92.0,0.5675465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334
40398690,DOC HOLIDAYS,Doc Hollidayв‡Юs,92.0,0.5675465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.333333333333334
40399910,PIECES,Pieces,100.0,0.6392567164179102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
40401104,1020 BAR,1020 Bar,100.0,0.5348608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.25
40403579,THE TAP ROOM,The Tap Room,100.0,0.6763776923076924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.666666666666667
40483696,BROOKS ATKINSON THEATER,Brooks Atkinson Theatre,96.0,0.6701602040816327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.666666666666666
40511479,CIBAR,Cibar,100.0,0.7233964999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
40512852,DOC WATSONS,Doc Watsons,96.0,0.6475679999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
40513164,MCGEES PUB,McGees Pub,95.0,0.6670794999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.25
40536280,TRINITY PUB,Trinity Pub,100.0,0.8316632075471704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
40537494,810 DELI & CAFE,810 Deli & Cafe,100.0,0.24024666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0
40559634,TICK TOCK DINER,Tick Tock Diner,100.0,0.4158665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
